Country,Rice(ha),Rice(t),Rice(Kcal),Rice(%),Rice new(ha),Rice new(t),Rice new(Kcal),Corn(ha),Corn(t),Corn(Kcal),Corn(%),Corn new(ha),Corn new(t),Corn new(Kcal),Wheat(ha),Wheat(t),Wheat(Kcal),Wheat(%),Wheat new(ha),Wheat new(t),Wheat new(Kcal),Soya(ha),Soya(t),Soya(Kcal),Soya(%),Soya new(ha),Soya new(t),Soya new(Kcal),Roots and tubers(ha),Roots and tubers(t),Roots and tubers(Kcal),Roots and tubers(%),Roots and tubers new(ha),Roots and tubers new(t),Roots and tubers new(Kcal),sum(ha),sum(t),sum(Kcal),sum new(ha),sum new(t),sum new(Kcal),Calorie difference(%)
Mali,646669,2112741,8.85507E+12,40.00%,716152.4,2339751.152,9.80653E+12,1128779,3624950,7.08776E+12,60.00%,1074228.6,3449767.371,6.74523E+12,8240,29185,95685023224,0.00%,0,0,0,6693,13906,83326701013,0.00%,0,0,0,0,0,0,0.00%,0,0,0,1790381,5780782,1.61218E+13,1790381,5789518.523,1.65518E+13,2.67%
Mauritania,29156,154875,3.99244E+11,60.00%,28849.8,153248.4832,3.95051E+11,15519,22539,97445898207,30.00%,14424.9,20949.98525,90575896452,3408,7349,39574582421,10.00%,4808.3,10368.60232,55835230239,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,48083,184763,5.36264E+11,48083,184567.0707,5.41462E+11,0.97%
Mexico,30115,189270,4.12376E+11,1.00%,78915.97,495979.5996,1.08062E+12,7122710,27169977,4.47245E+13,90.00%,7102437.3,27092645.65,4.45972E+13,541345,2943445,6.28624E+12,7.00%,552411.79,3003618.249,6.41475E+12,190628,324011,2.37329E+12,1.00%,78915.97,134133.7178,9.8249E+11,6799,205532,43050264869,1.00%,78915.97,2385609.229,4.99684E+11,7891597,30832235,5.38394E+13,7891597,33111986.44,5.35747E+13,-0.49%
Mongolia,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,342666,436115,3.97913E+12,100.00%,342666,436115,3.97913E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,342666,436115,3.97913E+12,342666,436115,3.97913E+12,0.00%
myanmar,4472620,16953901,6.12452E+13,95.00%,4945957.45,18748132.63,6.77268E+13,516272,1983122,3.24174E+12,4.00%,208250.84,799940.3848,1.30764E+12,74142,134372,8.60956E+11,0.00%,0,0,0,143237,170985,1.78328E+12,1.00%,52062.71,62148.34484,6.48172E+11,0,0,0,0.00%,0,0,0,5206271,19242380,6.71312E+13,5206271,19610221.36,6.96826E+13,3.80%
namibia,0,0,0,0.00%,0,0,0,25172,59253,1.58058E+11,40.00%,27543.6,64835.56852,1.7295E+11,1149,6094,13342486855,2.00%,1377.18,7304.207937,15992172365,0,0,0,0.00%,0,0,0,42538,366414,2.69344E+11,58.00%,39938.22,344020.0043,2.52883E+11,68859,431761,4.40745E+11,68859,416159.7808,4.41825E+11,0.25%
Netherlands,0,0,0,0.00%,0,0,0,9425,84894,59180848676,10.00%,12112.2,109098.4729,76054140618,111697,985297,1.29705E+12,90.00%,109009.8,961592.7815,1.26585E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,121122,1070191,1.35624E+12,121122,1070691.254,1.3419E+12,-1.06%
Nicaragua,46223,243455,6.32948E+11,19.00%,63334.6,333581.2267,8.67264E+11,282380,395226,1.7731E+12,80.00%,266672,373240.6965,1.67447E+12,0,0,0,0.00%,0,0,0,4000,10000,49799313320,1.00%,3333.4,8333.5,41500257755,737,2979,4666575262,0.00%,0,0,0,333340,651660,2.46052E+12,333340,715155.4232,2.58323E+12,4.99%
Pakistan,1874290,7205567,2.56653E+13,20.00%,2404589.2,9244262.408,3.29269E+13,1318104,6308897,8.27655E+12,10.00%,1202294.6,5754593.564,7.54937E+12,8797227,25076149,1.02156E+14,70.00%,8416062.2,23989653.75,9.77295E+13,29,30,361045021.6,0.00%,0,0,0,33296,527436,2.10825E+11,0.00%,0,0,0,12022946,39118079,1.36309E+14,12022946,38988509.73,1.38206E+14,1.39%
Papua New Guinea,272,567,3724594611,1.00%,274.85,572.9409926,3763620694,2723,14333,17098084981,9.00%,2473.65,13020.50145,15532382634,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,24490,356122,1.55067E+11,90.00%,24736.5,359706.4864,1.56628E+11,27485,371022,1.7589E+11,27485,373299.9289,1.75924E+11,0.02%
Paraguay,94714,596698,1.29695E+12,2.00%,102094.28,643193.7484,1.39801E+12,1070000,5344650,6.71867E+12,20.00%,1020942.8,5099609.286,6.41064E+12,430000,722400,4.99327E+12,8.00%,408377.12,686073.5616,4.74218E+12,3510000,11045971,4.36989E+13,70.00%,3573299.8,11245175.49,4.4487E+13,0,0,0,0.00%,0,0,0,5104714,17709719,5.67078E+13,5104714,17674052.08,5.70378E+13,0.58%
Peru,292111,2373119,3.99998E+12,30.00%,273520.2,2222086.753,3.74541E+12,456045,1569535,2.86357E+12,50.00%,455867,1568922.391,2.86245E+12,126638,195088,1.47055E+12,10.00%,91173.4,140454.1785,1.05873E+12,832,1530,10358257171,0.00%,0,0,0,36108,269368,2.28631E+11,10.00%,91173.4,680159.422,5.77297E+11,911734,4408640,8.57309E+12,911734,4611622.745,8.24389E+12,-3.84%
